Temperatura,x1,y1
353.925,0,0
353.944,0.001,0.000522659
353.925,0,0
353.944,0.001,0.000522659
353.96,0.002,0.00104533
353.976,0.003,0.00156801
353.992,0.004,0.00209071
354.024,0.006,0.00313615
354.056,0.008,0.00418166
354.088,0.01,0.00522725
354.249,0.02,0.0104567
354.411,0.03,0.0156895
354.573,0.04,0.0209267
354.902,0.06,0.0314195
355.234,0.08,0.0419447
355.571,0.1,0.0525122
356.432,0.15,0.0791853
357.324,0.2,0.106362
358.25,0.25,0.134237
359.217,0.3,0.16303
360.23,0.35,0.192997
361.295,0.4,0.224433
362.421,0.45,0.257695
363.617,0.5,0.293207
364.895,0.55,0.331487
366.269,0.6,0.373178
367.755,0.65,0.419082
369.372,0.7,0.470216
371.145,0.75,0.527891
373.104,0.8,0.593821
375.283,0.85,0.670281
377.728,0.9,0.760348
378.793,0.92,0.801085
379.913,0.94,0.844997
381.093,0.96,0.892475
381.707,0.97,0.917689
382.338,0.98,0.943969
382.987,0.99,0.971382
383.119,0.992,0.977006
383.251,0.994,0.98268
383.385,0.996,0.988403
383.452,0.997,0.991283
383.519,0.998,0.994176
383.586,0.999,0.997082
383.65,1,1
